id,Title,Address,Phone,Email,Web,Schedule,About,Image,Reviews_number
13,MoveUSA,"Manhattan, NY 10036",(855) 668-3001,NULL,moveusa.com,"Mon 8:00 am - 4:00 pm;
Tue 8:00 am - 4:00 pm;
Wed 8:00 am - 4:00 pm;
Thu 8:00 am - 4:00 pm;
Fri 8:00 am - 4:00 pm;
Sat 8:00 am - 4:00 pm;
Sun 8:00 am - 4:00 pm","MoveUSA offers you ONE membership to hundreds of local gyms, studios and classes. Whether it's Swim, gym, climb, yoga, spin... whatever moves you, we've got it!Enjoy unlimited sessions at all these locations in your area and thousands more worldwide!
",https://s3-media0.fl.yelpcdn.com/bphoto/mqAGWpO9Il08WOLhE5lhrg/o.jpg,2
15,Champions Martial Arts,"177 Ave C, New York, NY 10009",(917) 265-8533,NULL,championstkd.com/stores/avenue…,"Mon 3:00 pm - 8:00 pm;
Tue 3:00 pm - 8:00 pm;
Wed 3:00 pm - 8:00 pm;
Thu 3:00 pm - 8:00 pm;
Fri 3:00 pm - 8:00 pm;
Sat 10:00 am - 2:00 pm;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/g0HoJtTmiQ6vfeCo5DgNoA/o.jpg,0
16,Asphalt Green - Battery Park City,"212 N End Ave, New York, NY 10282",(212) 298-2900,NULL,asphaltgreen.org,,"Play sports on the outdoor field and indoor gymnasium, swim in the 25-yard lap pool, exercise in the gym, learn to cook, play an instrument, practice dance, or create art at Asphalt Green. The Battery Park City campus provides top-notch swim, sports, fitness, cooking, and arts programs for kids and adults.Services: Pool &amp; gym membership, swim lessons, Spin, Pilates, yoga, personal training, soccer, basketball, volleyball, flag football, circus arts, dance, music, theater, cooking, triathlon, Summer Day Camp
Asphalt Green is a non-profit sports and fitness organization in New York City that was founded by Dr. George E. Murphy, a professor of pathology at the Cornell University Medical College, and his wife, Annette. In 1972, the Murphy's, along with local residents, formed a charitable organization to renovate the Municipal Asphalt Plant and create Asphalt Green, a community center that offers sports activities. Asphalt Green officially opened in 1984 on the site of the former Municipal Asphalt Plant. The interior of plant was rehabilitated to house a gymnasium and multi-purpose classrooms.  In 1985, the outdoor turf sports field was added and in 1993, the AquaCenter was built next door, including a 50-meter Olympic pool and a 15,000 square-foot Fitness Center. In 2013, Asphalt Green opened a second location in lower Manhattan in Battery Park City. The Battery Park City campus includes a pool, fitness center, gymnasium, outdoor field and more",https://s3-media0.fl.yelpcdn.com/bphoto/yioKSbBj6Tc-CKXH3f8D9w/l.jpg,41
17,Take Me To The Water - Downtown,"400 Chambers St, New York, NY 10282",(646) 681-5487,NULL,takemetothewater.com,"Mon Closed;
Tue Closed;
Wed Closed;
Thu 3:00 pm - 6:00 pm;
Fri Closed;
Sat Closed;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/IlkMcNHiBgxUr83robyjHA/l.jpg,1
18,Moving For Life Studio,"55 Ave C, New York, NY 10009",(212) 222-1351,NULL,movingforlife.org,,,,0
19,Village Martial Arts Institute,"188 E 3rd St, New York, NY 10009",(212) 614-3250,NULL,eastvillagemartialarts.com,,"Everything we teach is reality based. Our instructors work very hard to insure that most any situation you might encounter is covered in the classroom under very safe learning conditions, so you will be prepared. We take students step by step in a safe environment that allows each student to advance at their own pace and make the classes fun and fulfilling.Modern Arnis Domog, or Filipino stick fighting, consists of a no-nonsense approach to defense using rattan sticks as training tools. Students are instructed in empty hand methods which constitute the karate, jujitsu, and kickboxing aspects of this Art. The result is a fluid and graceful form of realistic self defense, which can be learned and practiced by anyone not just the young and fit. Our eldest student is 86 years young. Village Martial Arts Institute is one of the only studios offering this amazing program that is the perfect self defense for all ages. Kickboxing is a Total Body Workout, with nonstop kicking, punching, pad
",https://s3-media0.fl.yelpcdn.com/bphoto/yndtGVf3dbSZ1hSaizo7gQ/l.jpg,2
20,Just For Kicks Swimming,"411 E 10th St, New York, NY 10009",,NULL,jfkswimming.org,"Mon Closed;
Tue Closed;
Wed Closed;
Thu 5:00 pm - 7:00 pm;
Fri Closed;
Sat Closed;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/6ZIHXeOGhl1iMfnZC3fA4Q/o.jpg,0
21,East Village Children's Yoga & Theatre Workshop,"638 E 6th St, Fl 3, New York, NY 10009",,NULL,,,,,0
22,MoshFit,"538 E 14th St, New York, NY 10009",(646) 263-9128,NULL,punkrope.com/moshfit,,"MoshFit is the brainchild of Punk Rope founder, Tim Haft, who believes that working out should be fun and what could be more fun that exercising in the back room of Otto's Shrunken Head, New York City's coolest tiki bar? During the 60-minute class you'll rock out while you work out as Haft, who is also a rock 'n' roll DJ provides a killer playlist that changes each week. You'll improve your cardio, strength, agility, and flexibility, while burning a ton of calories. And don't worry, the workout is perfectly safe. Save your stage diving and slam dancing for actual punk shows.MoshFit is appropriate for exercisers of all fitness levels. You'll work at your own pace and if a movement doesn't feel right we'll offer you a safe alternative. Space is limited to ensure you receive plenty of individual attention.Since we're all about staying hydrated and building community, class is followed by a special happy hour: all drafts and well drinks are only $4 for MoshFitters between 7:30pm and 8:30pm.
MoshFit was inspired by Punk Rope, which Tim Haft launched in 2004. Punk Rope is now the most popular rope-jumping based fitness class in the world, but Tim realized long ago that not everybody likes to jump rope. He wanted to create a fitness class with the same playful spirit and high energy as Punk Rope, but minus the rope jumping. Tim also wanted to offer a class that could be taught in a wide variety of settings not just gyms. Since MoshFit requires no equipment it can be offered virtually anywhere including the back room of a tiki bar",https://s3-media0.fl.yelpcdn.com/bphoto/4690yE6WwCMvAf0X8Byn8A/l.jpg,6
23,Swim Koi,"720 East 11th St, New York, NY 10009",(347) 562-3924,NULL,swimkoi.com,,"We have 7 levels that are designed to break down the four main strokes making learning to swim an attainable goal. We also offer many other programs like our Baby-Koi program which is a class that allow parents to learn how to teach their babies to become comfortable in the water, our Jr. Lifeguard program provides participants with the basic knowledge and skills required to become a certified lifeguard; we also offer the Lifeguard and First-Aid course &amp; CPR for Professional Rescuers Course (American Red Cross Certification.)
Here at Swim-Koi we aim to provide high quality customer service to all participants and to empower our youth. We believe that encouragement and positive reinforcement is the key to our studentsxe2x80x99 success and ultimately unlocking the swimmer within. Not only do we provide quality swim lessons to all ages, but we also provide that friendly and enthusiastic atmosphere that is vital to the development and success of our participants. We have a unique teaching style that focuses on technique, grace and caters to all ages",https://s3-media0.fl.yelpcdn.com/bphoto/ZJ6N6N3r9qRUTqx25icTfA/l.jpg,0
24,Y7 Studio East Village,"250 E Houston, New York, NY 10002",,NULL,y7-studio.com/east-village,,,https://s3-media0.fl.yelpcdn.com/bphoto/rCeQxdNKWKJe5o4SxOfIig/l.jpg,9
25,Yoga Creations,"East 3rd St, New York, NY 10003",(917) 355-7427,NULL,,,,,0
27,RiveraBoxing,"25 Park Pl, New York, NY 10007",(646) 657-6624,NULL,riveraboxing.com,"Mon 6:00 am - 10:00 pm;
Tue 6:00 am - 10:00 pm;
Wed 6:00 am - 10:00 pm;
Thu 6:00 am - 10:00 pm;
Fri 6:00 am - 10:00 pm;
Sat 9:00 am - 4:00 pm;
Sun 9:00 am - 1:00 pm","I'm new to Yelp so I don't have many reviews yet.  But give me a call and I can get you in touch with some of my clients to serve as a reference!My goal as a personal trainer is to motivate, inspire, and educate others about the benefits of exercising and living a healthy lifestyle.  I have a passion for maintaining peak levels of fitness and I've been helping others do so as a personal trainer for the last 25 years.  I'm here to provide encouragement, confidence, motivation and strength, to help you reach your fitness goals!  I believe strength is the product of struggle, You must do what others don't - to achieve what others won't. My programs are always designed with the client's best interest in mind.  A Brooklyn native from Park Slope, I ran my own gym in Brooklyn for 3 years.  I have trained 30 fighters who have moved on to have successful careers.
For as long as I can remember I have always been active, playing sports, running and boxing.  Being an athlete introduced me to training at an early age.  I took this love of fitness and became a personal trainer.  I've had 34 fights myself and was a semifinalist in the Golden Gloves",https://s3-media0.fl.yelpcdn.com/bphoto/TzVlZPh8kvwh-bQl7ShBJA/l.jpg,0
28,Krav Maga Institute NYC,"25 Park Pl, New York, NY 10007",(347) 587-8550,NULL,kravmagainstitutenyc.com,"Mon 9:00 am - 9:00 pm;
Tue 9:00 am - 9:00 pm;
Wed 9:00 am - 9:00 pm;
Thu 9:00 am - 9:00 pm;
Fri 9:00 am - 9:00 pm;
Sat 9:00 am - 9:00 pm;
Sun 9:00 am - 9:00 pm","The Krav Maga Institute offers Krav Maga group classes and private training opportunities including the BullyProof NYC program (self defense for kids), women's self defense classes, fighting classes, tactical fitness in and around New York City every day of the week at affordable prices.The Krav Maga Institute in New York City is the first and only IKMF training center in New York. The Institute offers a wide range of daily classes for all levels, Master Classes, intensive workshops, short courses and private training opportunities.
Established and based in the heart of NYC, the Krav Maga Institute offers a wide range of self defense and Krav Maga Classes directly from Israel. Our dedicated team of 6 instructors are among the most experienced in the USA and offer the best and most up to date Krav Maga training available in modern practical self defense. The Krav Maga Institute offers Krav Maga group classes and private training opportunities including the BullyProof NYC program (self defense for kids), women's self defense classes, fighting classes, tactical fitness in and around New York City every day of the week at affordable prices.The Krav Maga Institute in New York City is the first and only IKMF training center in New York. The Institute offers a wide range of daily classes for all levels, Master Classes, intensive workshops, short courses and private training opportunities",https://s3-media0.fl.yelpcdn.com/bphoto/WFdSoWxRi7b15Pr9Q3yLhQ/l.jpg,3
29,New York Sports Clubs,"1915 3rd Ave, New York, NY 10029",(212) 369-3063,NULL,newyorksportsclubs.com,,"Improving Lives Through Exercise. Our sports clubs have been the northeast's leader in health and fitness since 1974. Operating more than 100 clubs featuring certified trainers, innovative programs and cutting-edge equipment, we make getting fit a simple exercise.
",https://secure-cf-c.ooyala.com/B2YWN2NjE65ajNwz0N3vsD7ibIY54_mL/Ut_HKthATH4eww8X4xMDoxOjBhOzV3Va,12
30,KettleX,"New York, NY 10019",(917) 232-6578,NULL,lornafit.com/get-started/priva…,"Mon 8:00 am - 8:00 pm;
Tue 8:00 am - 8:00 pm;
Wed 8:00 am - 8:00 pm;
Thu 8:00 am - 8:00 pm;
Fri 8:00 am - 8:00 pm;
Sat 8:00 am - 8:00 pm;
Sun Closed",,https://s3-media0.fl.yelpcdn.com/bphoto/nN6B6cDCIMzRFSqvAXPUVw/l.jpg,0
31,Personal Trainer and Nutritionist,"744-746 E 9th St, New York, NY 10009",(917) 969-4865,NULL,daryakarelina.com,,,https://s3-media0.fl.yelpcdn.com/bphoto/ssDJeTzOMjaDQ3JzhEA6Xg/l.jpg,0
32,Tkt T Kang Taekwondo Martial Arts Centers,"349 Broadway Frnt 2, New York, NY 10013",(212) 219-0043,NULL,,,,,0
33,Sensei Derek,"28 Warren St, Fl 4, New York, NY 10007",(917) 267-8043,NULL,SenseiDerek.com,,,,0
34,Thai Yoga Therapy NYC,"123 4th Ave, 3rd Fl, New York, NY 10019",(646) 543-0119,NULL,thaiyogany.com,"Mon Closed;
Tue 1:00 pm - 8:00 pm;
Wed 1:00 pm - 8:00 pm;
Thu 1:00 pm - 8:00 pm;
Fri 10:00 am - 8:00 pm;
Sat 10:00 am - 8:00 pm;
Sun Closed","The Best Traditional Thai Yoga Bodywork , well train therapist by Lek Stark is originally Thai Yoga and Thai massage instructor , and Natural Organic Skin care &amp; body treatments, We are Traditional Thai yoga- therapeutics experts--an ancient treatment that involves stretching and healing --perfect for star athletes, overworked professionals and anyone looking for focused therapy or a healing, relaxing escape.
LekSpa's founder is originally from Thailand and has worked for some of the world's top 5 star resorts and spas. From the exclusive Four Seasons and others in New York City, her 10 years of experience is what makes LekSpa  the premier destination for Thai Yoga-Therapeutic, Stone therapy and beauty treatments",https://s3-media0.fl.yelpcdn.com/bphoto/w_aOsjBB_yE-1_5r_bSDCw/l.jpg,34
35,Montauk Salt Cave,"90 E 10th St, New York, NY 10003",(212) 677-7258,NULL,montauksaltcave.com,"Mon 10:00 am - 8:00 pm;
Tue 10:00 am - 8:00 pm;
Wed 10:00 am - 8:00 pm;
Thu 10:00 am - 8:00 pm;
Fri 10:00 am - 8:00 pm;
Sat 10:00 am - 6:00 pm;
Sun 10:00 am - 6:00 pm","After exhausting all other options for their son's sinus troubles, our founders brought him to an out-of-state salt cave where he finally found relief. In 2014, they opened a salt cave here at home to share this healing experience with the community. Halotherapy, also called salt therapy, is an alternative treatment for conditions like asthma, allergies, inflammation, and even the common cold. We'd love for you to come experience the miracle of salt or our other forms of therapy, like reiki and sound meditation, whether you're having respiratory issues or just want to relax.
",https://s3-media0.fl.yelpcdn.com/bphoto/2Pv5SRu8BvywXxI59R6Ilw/l.jpg,55
36,Leandrofitness Studio,"92 3rd Ave, New York, NY 10003",(917) 464-4599,NULL,leandrofitness.com,"Mon 9:00 am - 9:00 pm;
Tue 9:00 am - 9:00 pm;
Wed 9:00 am - 9:00 pm;
Thu 9:00 am - 9:00 pm;
Fri 9:00 am - 9:00 pm;
Sat 9:00 am - 9:00 pm;
Sun 9:00 am - 9:00 pm",,https://s3-media0.fl.yelpcdn.com/bphoto/kOVndqHjgm8J1m3u2dPffw/o.jpg,0
37,The Shala Yoga House,"816 Broadway, Ste 1, New York, NY 10003",(212) 979-9988,NULL,theshala.com,"Mon 6:30 am - 9:30 pm;
Tue 6:30 am - 9:30 pm;
Wed 6:30 am - 9:30 pm;
Thu 6:30 am - 9:30 pm;
Fri 6:30 am - 8:00 pm;
Sat 10:00 am - 7:30 pm;
Sun 8:00 am - 6:00 pm","classes at the shala are a challenging, thoughtful blend of asana, chanting and meditation. teachers focus on intelligent sequencing in a vinyasa style format, emphasizing the connection between breath and movement from asana to asana. this practice builds strength and flexibility in the body and steadiness in the mind.
in 2002, kristin leigh and barbara verrochi founded the shala, which means home or abode in sanskrit, to create a place and community where--in the chaos of new york city life--people could practice yoga, breathe and be at home in their bodies",https://s3-media0.fl.yelpcdn.com/bphoto/2EFdAjDy9VcaWlsJ8t_HGA/l.jpg,43
38,Circuit Healing,"67 Loisaida Ave, New York, NY 10009",,NULL,,,,https://s3-media0.fl.yelpcdn.com/bphoto/9pNo6zp6h2kbccoJRUYzew/l.jpg,0
39,Village Kickboxing Fitness,"188 E 3rd St, New York, NY 10009",(646) 373-7804,NULL,villagema.com,,,https://s3-media0.fl.yelpcdn.com/bphoto/fxRAPQeOyIbvV2PLaWzcKA/l.jpg,0
40,The Blackout Fitness,"New York, NY 10003",(646) 531-9181,NULL,theblackoutfitness.com,"Mon 6:00 am - 8:00 pm;
Tue 6:00 am - 8:00 pm;
Wed 6:00 am - 8:00 pm;
Thu 6:00 am - 8:00 pm;
Fri 6:00 am - 4:00 pm;
Sat 6:00 am - 4:00 pm;
Sun Closed","Personal TrainingOnline CoachingHabit CoachingNutrition Guidance Fitness Transformation
",https://s3-media0.fl.yelpcdn.com/bphoto/HMCs1ARb_UVxgA2ZZyTFZg/o.jpg,0
41,Center for Remembering & Sharing,"123 4th Ave, Fl 2, New York, NY 10003",(212) 677-8621,NULL,crsny.org,"Mon 9:00 am - 10:00 pm;
Tue 9:00 am - 10:00 pm;
Wed 9:00 am - 10:00 pm;
Thu 9:00 am - 10:00 pm;
Fri 9:00 am - 10:00 pm;
Sat 9:00 am - 6:00 pm;
Sun 9:00 am - 10:00 pm","We specialize in rental spaces for therapists and instructors and group events. Enjoy peace of mind while seeing your clients or teaching--or taking--a workshop or class at our healing &amp; arts center, a calm oasis steps from Union Square! We rent 2 private session rooms and 3 lovely studios to numerous meetup/support groups, therapists, instructors, organizations and artists. Our maximum occupancy is 70 people.We also offer our own form of spiritual healing/counseling as well as relaxed and intimate classes in meditation, yoga, A Course in Miracles, and dance for all ages, and film screenings, arts exhibitions, performances and other community events. Stop by for a quick orientation and learn how you can make CRS your home, too!
CRS (Center for Remembering &amp; Sharing) is a community center opened in 2004 by writer/lecturer/healer Yasuko Kasaki, her students, and artist/producer Christopher Pelham in order to provide artists and individuals from all walks of life with opportunities to remember and share their limitless creative energies. Since its opening, CRS has been located at 123 4th Ave, 2nd FL in Manhattan's Greenwich Village, just south of  Union Square. Over the years, CRS has also presented seminars in Westchester and NJ and throughout Japan",https://s3-media0.fl.yelpcdn.com/bphoto/-P5RkqUnxyvkRMr08Y11Jg/l.jpg,6
43,Sneha Physical Therapy,"New York, NY 10003",(203) 493-1871,NULL,snehaphysicaltherapy.com,"Mon 7:00 am - 8:00 pm;
Tue 7:00 am - 8:00 pm;
Wed 7:00 am - 8:00 pm;
Thu 7:00 am - 8:00 pm;
Fri 7:00 am - 8:00 pm;
Sat Closed;
Sun Closed","Sneha Physical Therapy is a mobile home-service &amp; telehealth practice serving New York state. Dr. Sneha Gazi specializes in all Orthopedics, including but not limited to Pelvic Health, TMJ, and Performing Arts Physical Therapy.You will receive one-on-one treatment with Dr. Gazi with personalized attention and a unique plan of care. Dr. Gazi currently offers telehealth services, which are conducted through video sessions. For in-home visits, Dr. Gazi comes to you. No need for commuting, finding a babysitter, or scheduling during your valued lunch break.
",https://s3-media0.fl.yelpcdn.com/bphoto/FNBVW2CI0ckbcbK5AYkJ7w/l.jpg,4
44,Crunch Fitness - Union Square,"113 4th Ave, New York, NY 10003",(212) 533-0001,NULL,crunch.com,,"Crunch gym in New York, NY fuses fitness &amp; fun through awesome group fitness classes, miles of cardio, top-notch equipment, and personal training, all in month-to-month memberships!
Of all the great histories of all the great health clubs, Crunch's begins rather inauspiciously: in a basement level aerobics studio in New York City's East Village circa 1989. This, our first location, had no locker rooms, the air conditioning didn't work and after hours break-ins were perennial events.Fast forward nearly twenty years to the present and Crunch has grown from that one tiny aerobics studio with no air conditioning into a collection of 31state-of-the-art gyms in locations such as Los Angeles, San Francisco, Miami and, of course, New York (and more to come). It stands as a rapidly growing brand that fuses fitness and entertainment to make working out fun, bringing a host of unique services and products to our active and expanding clientele",https://s3-media0.fl.yelpcdn.com/bphoto/zNgWUGRauych6iXXmkAyFA/l.jpg,171
46,Kat Fowler Yoga,"New York, NY 11238",(917) 268-7530,NULL,katfowler.com,"Mon 10:00 am - 5:00 pm;
Tue 10:00 am - 5:00 pm;
Wed 10:00 am - 5:00 pm;
Thu 10:00 am - 5:00 pm;
Fri 10:00 am - 5:00 pm;
Sat Closed;
Sun Closed","Brooklyn &amp; Manhattan based in-home Private Yoga Lessons from an expert teacher. Designed for you.
Kat Fowler teaches private lessons in the following neighborhoods: MANHATTANChelseaEast VillageFinancial DistrictGramercy ParkGreenwich VillageNoHoSoHoTribecaUnion SquareWest VillageBROOKLYNBrooklyn HeightsCarroll GardensCobble HillDumboFort GreenProspect HeightsPark SlopeAs well as remotely online through skype",https://s3-media0.fl.yelpcdn.com/bphoto/4EXcnZuoEF_FZeGaPQdExA/l.jpg,0
